País,Año,Producción E. Biocombustible [TWh],Porcentaje E. Biocombustible [% total],Producción E. Carbón [TWh],Porcentaje E. Carbón [% total],Demanda Electricidad [TWh],Producción Total Electricidad [TWh],Producción E. Fósiles [TWh],Porcentaje E. Fósiles [% total],Producción E. Gas [TWh],Porcentaje E. Gas [% total],Producción E. Hidroeléctrica [TWh],Porcentaje E. Hidroeléctrica [% total],Producción E. Fuentes Bajo C. [TWh],Porcentaje E. Fuentes Bajo C. [% total],Importaciones E. Total [TWh],Producción E. Nuclear [TWh],Porcentaje E. Nuclear [% total],Producción E. Petróleo [TWh],Porcentaje E. Petróleo [% total],Producción E. Otras E. Renovables [TWh],Producción E. Otras E. Renovables sin Biocombustible [TWh],Porcentaje E. Otras E. Renovables [% total],Porcentaje E. Otras E. Renovables sin Biocombustible [% total],Producción E. Renovables [TWh],Porcentaje E. Renovables [% total],Producción E. Solar [TWh],Porcentaje E. Solar [% total],Producción E. Viento [TWh],Porcentaje E. Viento [% total]
Argentina,2018,1.42,0.967,2.03,1.383,156.34,146.78,104.69,71.324,95.35,64.961,32.28,21.992,42.09,28.676,9.56,6.87,4.68,7.31,4.98,1.417,0.0,0.966,0.0,35.22,23.995,0.11,0.075,1.41,0.961
Argentina,2019,1.48,1.061,1.17,0.839,150.22,139.53,96.31,69.025,91.31,65.441,27.5,19.709,43.22,30.975,10.69,8.44,6.049,3.83,2.745,1.476,0.0,1.058,0.0,34.78,24.927,0.8,0.573,5.0,3.583
Argentina,2020,2.2,1.521,1.64,1.134,149.35,144.64,98.01,67.761,88.72,61.338,23.67,16.365,46.63,32.239,4.71,10.01,6.921,7.65,5.289,2.2,0.0,1.521,0.0,36.62,25.318,1.34,0.926,9.41,6.506
Argentina,2021,2.25,1.469,2.38,1.554,155.65,153.15,105.94,69.174,89.93,58.72,19.65,12.831,47.21,30.826,2.5,10.17,6.641,13.63,8.9,2.254,0.0,1.472,0.0,37.04,24.185,2.2,1.437,12.94,8.449
Argentina,2022,2.34,1.551,2.14,1.419,163.71,150.83,100.03,66.32,80.42,53.318,23.89,15.839,50.8,33.68,12.88,7.47,4.953,17.47,11.583,2.353,0.0,1.56,0.0,43.33,28.728,2.94,1.949,14.16,9.388
Argentina,2023,2.33,1.519,0.6,0.391,166.1,153.43,91.24,59.467,73.38,47.826,33.17,21.619,62.19,40.533,12.67,8.95,5.833,17.26,11.249,2.276,0.0,1.483,0.0,53.24,34.7,3.25,2.118,14.49,9.444
Bolivia,2004,0.06,1.325,0.0,0.0,4.53,4.53,2.34,51.656,2.28,50.331,2.13,47.02,2.19,48.344,0.0,0.0,0.0,0.06,1.325,0.06,0.0,1.325,0.0,2.19,48.344,0.0,0.0,0.0,0.0
Bolivia,2005,0.06,1.227,0.0,0.0,4.89,4.89,2.89,59.1,2.83,57.873,1.94,39.673,2.0,40.9,0.0,0.0,0.0,0.06,1.227,0.06,0.0,1.227,0.0,2.0,40.9,0.0,0.0,0.0,0.0
Bolivia,2006,0.04,0.8,0.0,0.0,5.0,5.0,2.82,56.4,2.78,55.6,2.14,42.8,2.18,43.6,0.0,0.0,0.0,0.04,0.8,0.04,0.0,0.8,0.0,2.18,43.6,0.0,0.0,0.0,0.0
Bolivia,2007,0.05,0.919,0.0,0.0,5.44,5.44,3.09,56.801,3.04,55.882,2.3,42.279,2.35,43.199,0.0,0.0,0.0,0.05,0.919,0.05,0.0,0.919,0.0,2.35,43.199,0.0,0.0,0.0,0.0
Bolivia,2008,0.06,1.014,0.0,0.0,5.92,5.92,3.57,60.304,3.53,59.628,2.29,38.682,2.35,39.696,0.0,0.0,0.0,0.04,0.676,0.06,0.0,1.014,0.0,2.35,39.696,0.0,0.0,0.0,0.0
Bolivia,2009,0.08,1.288,0.0,0.0,6.21,6.21,3.86,62.158,3.81,61.353,2.27,36.554,2.35,37.842,0.0,0.0,0.0,0.05,0.805,0.08,0.0,1.288,0.0,2.35,37.842,0.0,0.0,0.0,0.0
Bolivia,2010,0.08,1.203,0.0,0.0,6.65,6.65,4.41,66.316,4.35,65.414,2.16,32.481,2.24,33.684,0.0,0.0,0.0,0.06,0.902,0.08,0.0,1.203,0.0,2.24,33.684,0.0,0.0,0.0,0.0
Bolivia,2011,0.09,1.269,0.0,0.0,7.09,7.09,4.68,66.008,4.63,65.303,2.32,32.722,2.41,33.992,0.0,0.0,0.0,0.05,0.705,0.09,0.0,1.269,0.0,2.41,33.992,0.0,0.0,0.0,0.0
Bolivia,2012,0.08,1.08,0.0,0.0,7.41,7.41,5.0,67.476,4.93,66.532,2.33,31.444,2.41,32.524,0.0,0.0,0.0,0.07,0.945,0.08,0.0,1.08,0.0,2.41,32.524,0.0,0.0,0.0,0.0
Bolivia,2013,0.13,1.665,0.0,0.0,7.81,7.81,5.17,66.197,5.11,65.429,2.51,32.138,2.64,33.803,0.0,0.0,0.0,0.06,0.768,0.13,0.0,1.665,0.0,2.64,33.803,0.0,0.0,0.0,0.0
